,Description,Location Description,Arrest,Domestic,District,Month,Day,Hour,Weekday
0,SIMPLE,STREET,False,False,8.0,7,1,20,4
1,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,11.0,5,11,0,2
2,$500 AND UNDER,SIDEWALK,False,False,7.0,8,6,21,5
3,TO PROPERTY,APARTMENT,False,False,25.0,6,14,22,1
4,TO VEHICLE,OTHER,False,False,3.0,9,22,19,3
5,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,2.0,4,18,12,0
6,FROM BUILDING,STREET,False,False,6.0,10,9,14,6
7,DOMESTIC BATTERY SIMPLE,STREET,False,False,6.0,8,4,12,3
8,TO VEHICLE,STREET,False,False,11.0,4,5,21,1
9,$500 AND UNDER,STREET,False,False,25.0,9,19,0,0
